Track Name,Track ID,Artist,Track Popularity,Playlist_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist ID,Artist Followers,Artist genres,Artist popularity
*〜アスタリスク〜,706e7n479uUY8Q46jGAnaA,ORANGE RANGE,ORANGE RANGE,Shounen Anime Vibes (Anime Opening & Ending),0.769,0.961,4,-2.316,0,0.0371,0.263,0.0,0.146,0.89,114.982,audio_features,40gUfKHwCNLpXowFN9Hvsu,spotify:track:40gUfKHwCNLpXowFN9Hvsu,https://api.spotify.com/v1/tracks/40gUfKHwCNLpXowFN9Hvsu,https://api.spotify.com/v1/audio-analysis/40gUfKHwCNLpXowFN9Hvsu,206267,4,4upiYMjsFfLRieGo8RVRzD,376705.0,"['j-pop', 'j-poprock', 'j-rock', 'okinawan pop']",56.0
ビバ★ロック,1zqDhfkq6yfPBx69iqpLIv,ORANGE RANGE,ORANGE RANGE,Shounen Anime Vibes (Anime Opening & Ending),0.743,0.883,11,-2.016,1,0.0374,0.307,0.0,0.304,0.881,109.979,audio_features,05G51ez5Z73NRE0l2QtZfH,spotify:track:05G51ez5Z73NRE0l2QtZfH,https://api.spotify.com/v1/tracks/05G51ez5Z73NRE0l2QtZfH,https://api.spotify.com/v1/audio-analysis/05G51ez5Z73NRE0l2QtZfH,214589,4,4upiYMjsFfLRieGo8RVRzD,376705.0,"['j-pop', 'j-poprock', 'j-rock', 'okinawan pop']",56.0
AH,1IP2NS7ov1MAh2Y4Nc4HId,After School,After School,Kpop girl group songs that were a cultural reset,0.737,0.908,6,-3.244,1,0.0552,0.0198,2.64e-06,0.18,0.65,121.986,audio_features,1IP2NS7ov1MAh2Y4Nc4HId,spotify:track:1IP2NS7ov1MAh2Y4Nc4HId,https://api.spotify.com/v1/tracks/1IP2NS7ov1MAh2Y4Nc4HId,https://api.spotify.com/v1/audio-analysis/1IP2NS7ov1MAh2Y4Nc4HId,188865,4,1loWI8jVk9btgJXHgqHXPD,238406.0,"['k-pop', 'k-pop girl group']",46.0
Because of you,53PNN2kVM1eFU8C9KRs1jT,After School,After School,Kpop girl group songs that were a cultural reset,0.691,0.826,1,-3.968,0,0.0335,0.255,0.0,0.34,0.585,124.884,audio_features,53PNN2kVM1eFU8C9KRs1jT,spotify:track:53PNN2kVM1eFU8C9KRs1jT,https://api.spotify.com/v1/tracks/53PNN2kVM1eFU8C9KRs1jT,https://api.spotify.com/v1/audio-analysis/53PNN2kVM1eFU8C9KRs1jT,238759,4,1loWI8jVk9btgJXHgqHXPD,238406.0,"['k-pop', 'k-pop girl group']",46.0
bang,4eIyItvPfLiRpBsvk81voz,After School,After School,Kpop girl group songs that were a cultural reset,0.798,0.694,2,-5.032,1,0.0415,0.00325,0.0365,0.348,0.346,119.948,audio_features,4eIyItvPfLiRpBsvk81voz,spotify:track:4eIyItvPfLiRpBsvk81voz,https://api.spotify.com/v1/tracks/4eIyItvPfLiRpBsvk81voz,https://api.spotify.com/v1/audio-analysis/4eIyItvPfLiRpBsvk81voz,198243,4,1loWI8jVk9btgJXHgqHXPD,238406.0,"['k-pop', 'k-pop girl group']",46.0
First Love,2LdOm1BBfBbQjw9LrqmfuC,After School,After School,Kpop girl group songs that were a cultural reset,0.689,0.851,4,-2.96,0,0.0594,0.135,0.0,0.263,0.672,89.99,audio_features,2LdOm1BBfBbQjw9LrqmfuC,spotify:track:2LdOm1BBfBbQjw9LrqmfuC,https://api.spotify.com/v1/tracks/2LdOm1BBfBbQjw9LrqmfuC,https://api.spotify.com/v1/audio-analysis/2LdOm1BBfBbQjw9LrqmfuC,217738,4,1loWI8jVk9btgJXHgqHXPD,238406.0,"['k-pop', 'k-pop girl group']",46.0
Hyori Ittai,4Hzhy5HWNlx1iyPAwgJ5N6,Romix,Romix,lit anime music,0.737,0.908,6,-3.244,1,0.0552,0.0198,2.64e-06,0.18,0.65,121.986,audio_features,1IP2NS7ov1MAh2Y4Nc4HId,spotify:track:1IP2NS7ov1MAh2Y4Nc4HId,https://api.spotify.com/v1/tracks/1IP2NS7ov1MAh2Y4Nc4HId,https://api.spotify.com/v1/audio-analysis/1IP2NS7ov1MAh2Y4Nc4HId,188865,4,5XsKN9R8YkEAdMcbkrpooG,22291.0,['otacore'],47.0
Fuyu No Hanashi,1z7MJJQJ7m6RBTw2lTgQXE,Romix,Romix,lit anime music,0.673,0.933,5,-1.414,0,0.169,0.0279,0.0,0.357,0.662,127.905,audio_features,1wwuD36K0lZ9RDJPnGUXnT,spotify:track:1wwuD36K0lZ9RDJPnGUXnT,https://api.spotify.com/v1/tracks/1wwuD36K0lZ9RDJPnGUXnT,https://api.spotify.com/v1/audio-analysis/1wwuD36K0lZ9RDJPnGUXnT,227866,4,5XsKN9R8YkEAdMcbkrpooG,22291.0,['otacore'],47.0
Colors of the Heart,5nVlTdnwZ9C4EKBY8AXykA,Romix,Romix,lit anime music,0.791,0.85,6,-2.307,0,0.0468,0.136,0.057,0.0788,0.875,114.98,audio_features,2WuCEjpBwOa1b77sXPSCSH,spotify:track:2WuCEjpBwOa1b77sXPSCSH,https://api.spotify.com/v1/tracks/2WuCEjpBwOa1b77sXPSCSH,https://api.spotify.com/v1/audio-analysis/2WuCEjpBwOa1b77sXPSCSH,197799,4,5XsKN9R8YkEAdMcbkrpooG,22291.0,['otacore'],47.0
海底のオーケストラ,0XsVWz7yMItqgTv0oi3NFL,Romix,Romix,lit anime music,0.714,0.988,0,-2.088,0,0.0877,0.0488,0.0,0.195,0.671,128.026,audio_features,71zcekUOANDZbm4Jf1d88e,spotify:track:71zcekUOANDZbm4Jf1d88e,https://api.spotify.com/v1/tracks/71zcekUOANDZbm4Jf1d88e,https://api.spotify.com/v1/audio-analysis/71zcekUOANDZbm4Jf1d88e,180841,4,5XsKN9R8YkEAdMcbkrpooG,22291.0,['otacore'],47.0
